Episodio,Comida_Numero,Secuencia_Predefinida,QL_Posicion,QL_Primer_Paso,QL_Ultimo_Paso,QL_Pasos_Visible,QL_Fue_Comida,QL_Pasos_Para_Comer,DQN_Posicion,DQN_Primer_Paso,DQN_Ultimo_Paso,DQN_Pasos_Visible,DQN_Fue_Comida,DQN_Pasos_Para_Comer,Posiciones_Coinciden,Ambos_La_Comieron,QL_Score_Final,DQN_Score_Final,QL_Pasos_Totales,DQN_Pasos_Totales
2,8,"(12, 5)","(12, 5)",83,91,9,True,7,N/A,N/A,N/A,N/A,False,N/A,False,False,9,6,100,87
2,9,"(1, 3)","(1, 3)",92,100,9,False,,N/A,N/A,N/A,N/A,False,N/A,False,False,9,6,100,87
3,1,"(8, 8)","(8, 8)",1,12,12,True,10,"(8, 8)",1,4,4,True,2,True,True,10,11,100,101
3,2,"(13, 3)","(13, 3)",13,22,10,True,8,"(13, 3)",5,14,10,True,8,True,True,10,11,100,101
3,3,"(5, 12)","(5, 12)",23,41,19,True,17,"(5, 12)",15,31,17,True,15,True,True,10,11,100,101
3,4,"(7, 9)","(7, 9)",42,48,7,True,5,"(7, 9)",32,36,5,True,3,True,True,10,11,100,101
3,5,"(0, 7)","(0, 7)",49,63,15,True,13,"(0, 7)",37,45,9,True,7,True,True,10,11,100,101
3,6,"(3, 0)","(3, 0)",64,73,10,True,8,"(3, 0)",46,55,10,True,8,True,True,10,11,100,101
3,7,"(3, 5)","(2, 4)",74,78,5,True,3,"(3, 5)",56,60,5,True,3,False,True,10,11,100,101
3,8,"(9, 12)","(9, 12)",79,93,15,True,13,"(9, 12)",61,73,13,True,11,True,True,10,11,100,101
3,9,"(12, 10)","(12, 10)",94,98,5,True,3,"(12, 10)",74,78,5,True,3,True,True,10,11,100,101
3,10,"(11, 2)","(11, 2)",99,100,2,False,,"(11, 2)",79,87,9,True,7,True,False,10,11,100,101
3,11,"(10, 9)",N/A,N/A,N/A,N/A,False,N/A,"(10, 9)",88,95,8,True,6,False,False,10,11,100,101
3,12,"(5, 3)",N/A,N/A,N/A,N/A,False,N/A,"(5, 3)",96,101,6,False,,False,False,10,11,100,101
4,1,"(8, 8)","(8, 8)",1,8,8,True,6,"(8, 8)",1,4,4,True,2,True,True,8,6,100,101
4,2,"(8, 13)","(8, 13)",9,13,5,True,3,"(8, 13)",5,9,5,True,3,True,True,8,6,100,101
4,3,"(15, 8)","(15, 8)",14,27,14,True,12,"(15, 8)",10,21,12,True,10,True,True,8,6,100,101
4,4,"(2, 9)","(2, 9)",28,41,14,True,12,"(2, 9)",22,51,30,True,28,True,True,8,6,100,101
4,5,"(10, 0)","(10, 0)",42,58,17,True,15,"(10, 0)",52,68,17,True,15,True,True,8,6,100,101
4,6,"(2, 15)","(2, 15)",59,83,25,True,23,"(2, 15)",69,91,23,True,21,True,True,8,6,100,101
4,7,"(0, 3)","(0, 3)",84,97,14,True,12,"(0, 3)",92,101,10,False,,True,False,8,6,100,101
4,8,"(9, 3)","(9, 3)",98,100,3,False,,N/A,N/A,N/A,N/A,False,N/A,False,False,8,6,100,101
5,1,"(8, 8)","(8, 8)",1,6,6,True,4,"(8, 8)",1,4,4,True,2,True,True,6,5,45,39
5,2,"(2, 12)","(2, 12)",7,18,12,True,10,"(2, 12)",5,14,10,True,8,True,True,6,5,45,39
5,3,"(1, 7)","(1, 7)",19,24,6,True,4,"(1, 7)",15,20,6,True,4,True,True,6,5,45,39
5,4,"(4, 1)","(4, 1)",25,33,9,True,7,"(4, 1)",21,29,9,True,7,True,True,6,5,45,39
5,5,"(0, 2)","(0, 2)",34,42,9,True,7,"(0, 2)",30,36,7,True,5,True,True,6,5,45,39
5,6,"(10, 1)","(10, 1)",43,45,3,False,,"(10, 1)",37,39,3,False,,True,False,6,5,45,39
6,1,"(8, 8)","(8, 8)",1,4,4,True,2,"(8, 8)",1,4,4,True,2,True,True,9,7,100,69
6,2,"(11, 2)","(11, 2)",5,13,9,True,7,"(11, 2)",5,13,9,True,7,True,True,9,7,100,69
6,3,"(13, 14)","(13, 14)",14,33,20,True,18,"(13, 14)",14,27,14,True,12,True,True,9,7,100,69
6,4,"(10, 8)","(10, 8)",34,42,9,True,7,"(10, 8)",28,36,9,True,7,True,True,9,7,100,69
6,5,"(12, 12)","(12, 12)",43,50,8,True,6,"(12, 12)",37,42,6,True,4,True,True,9,7,100,69
6,6,"(1, 13)","(1, 13)",51,64,14,True,12,"(1, 13)",43,54,12,True,10,True,True,9,7,100,69
6,7,"(0, 3)","(0, 3)",65,75,11,True,9,"(0, 3)",55,65,11,True,9,True,True,9,7,100,69
6,8,"(0, 8)","(1, 7)",76,80,5,True,3,"(1, 7)",66,69,4,False,,True,False,9,7,100,69
6,9,"(15, 0)","(15, 0)",81,100,20,False,,N/A,N/A,N/A,N/A,False,N/A,False,False,9,7,100,69
7,1,"(8, 8)","(8, 8)",1,6,6,True,4,"(8, 8)",1,4,4,True,2,True,True,10,3,100,14
7,2,"(10, 4)","(10, 4)",7,12,6,True,4,"(10, 4)",5,10,6,True,4,True,True,10,3,100,14
7,3,"(9, 6)","(9, 6)",13,15,3,True,1,"(9, 6)",11,13,3,True,1,True,True,10,3,100,14
7,4,"(13, 5)","(13, 5)",16,20,5,True,3,"(13, 5)",14,14,1,False,,True,False,10,3,100,14
7,5,"(4, 3)","(4, 3)",21,31,11,True,9,N/A,N/A,N/A,N/A,False,N/A,False,False,10,3,100,14
7,6,"(15, 7)","(15, 7)",32,46,15,True,13,N/A,N/A,N/A,N/A,False,N/A,False,False,10,3,100,14
7,7,"(6, 4)","(6, 4)",47,64,18,True,16,N/A,N/A,N/A,N/A,False,N/A,False,False,10,3,100,14
7,8,"(15, 6)","(15, 6)",65,79,15,True,13,N/A,N/A,N/A,N/A,False,N/A,False,False,10,3,100,14
7,9,"(0, 2)","(0, 2)",80,100,21,True,19,N/A,N/A,N/A,N/A,False,N/A,False,False,10,3,100,14
8,1,"(8, 8)","(8, 8)",1,6,6,True,4,"(8, 8)",1,4,4,True,2,True,True,8,9,100,101
8,2,"(2, 11)","(2, 11)",7,17,11,True,9,"(2, 11)",5,13,9,True,7,True,True,8,9,100,101
8,3,"(13, 3)","(13, 3)",18,38,21,True,19,"(13, 3)",14,32,19,True,17,True,True,8,9,100,101
8,4,"(10, 1)","(10, 1)",39,43,5,True,3,"(10, 1)",33,37,5,True,3,True,True,8,9,100,101
8,5,"(1, 8)","(1, 8)",44,63,20,True,18,"(1, 8)",38,53,16,True,14,True,True,8,9,100,101
8,6,"(4, 14)","(4, 14)",64,74,11,True,9,"(4, 14)",54,62,9,True,7,True,True,8,9,100,101
8,7,"(1, 7)","(1, 7)",75,86,12,True,10,"(1, 7)",63,72,10,True,8,True,True,8,9,100,101
8,8,"(9, 11)","(9, 11)",87,100,14,False,,"(9, 11)",73,84,12,True,10,True,False,8,9,100,101
8,9,"(12, 0)",N/A,N/A,N/A,N/A,False,N/A,"(12, 0)",85,98,14,True,12,False,False,8,9,100,101
8,10,"(7, 4)",N/A,N/A,N/A,N/A,False,N/A,"(7, 4)",99,101,3,False,,False,False,8,9,100,101
9,1,"(8, 8)","(8, 8)",1,4,4,True,2,"(8, 8)",1,4,4,True,2,True,True,11,4,100,29
9,2,"(15, 8)","(15, 8)",5,11,7,True,5,"(15, 8)",5,11,7,True,5,True,True,11,4,100,29
9,3,"(11, 7)","(11, 7)",12,16,5,True,3,"(11, 7)",12,16,5,True,3,True,True,11,4,100,29
9,4,"(15, 10)","(15, 10)",17,23,7,True,5,"(15, 10)",17,23,7,True,5,True,True,11,4,100,29
9,5,"(2, 10)","(2, 10)",24,38,15,True,13,"(2, 10)",24,29,6,False,,True,False,11,4,100,29
9,6,"(7, 2)","(7, 2)",39,51,13,True,11,N/A,N/A,N/A,N/A,False,N/A,False,False,11,4,100,29
9,7,"(4, 11)","(4, 11)",52,63,12,True,11,N/A,N/A,N/A,N/A,False,N/A,False,False,11,4,100,29
9,8,"(3, 11)","(3, 11)",64,64,1,False,,N/A,N/A,N/A,N/A,False,N/A,False,False,11,4,100,29
9,9,"(10, 7)","(10, 7)",65,75,11,True,9,N/A,N/A,N/A,N/A,False,N/A,False,False,11,4,100,29
9,10,"(6, 2)","(6, 2)",76,88,13,True,11,N/A,N/A,N/A,N/A,False,N/A,False,False,11,4,100,29
9,11,"(10, 13)","(10, 13)",89,100,12,False,,N/A,N/A,N/A,N/A,False,N/A,False,False,11,4,100,29
10,1,"(8, 8)","(8, 8)",1,4,4,True,2,"(8, 8)",1,4,4,True,2,True,True,14,8,100,53
10,2,"(7, 5)","(7, 5)",5,8,4,True,2,"(7, 5)",5,8,4,True,2,True,True,14,8,100,53
10,3,"(7, 7)","(6, 6)",9,10,2,True,0,"(7, 7)",9,10,2,True,0,False,True,14,8,100,53
10,4,"(8, 12)","(8, 12)",11,18,8,True,6,"(8, 12)",11,16,6,True,4,True,True,14,8,100,53
10,5,"(14, 10)","(14, 10)",19,26,8,True,6,"(14, 10)",17,24,8,True,6,True,True,14,8,100,53
10,6,"(11, 12)","(11, 12)",27,31,5,True,3,"(10, 11)",25,29,5,True,3,False,True,14,8,100,53
10,7,"(8, 12)","(8, 12)",32,34,3,True,1,"(8, 12)",30,32,3,True,1,True,True,14,8,100,53
10,8,"(0, 3)","(0, 3)",35,51,17,True,15,"(0, 3)",33,49,17,True,15,True,True,14,8,100,53
10,9,"(0, 8)","(1, 7)",52,56,5,True,3,"(1, 7)",50,53,4,False,,True,False,14,8,100,53
10,10,"(1, 15)","(1, 15)",57,68,12,True,10,N/A,N/A,N/A,N/A,False,N/A,False,False,14,8,100,53
10,11,"(5, 11)","(5, 11)",69,76,8,True,6,N/A,N/A,N/A,N/A,False,N/A,False,False,14,8,100,53
10,12,"(9, 11)","(9, 11)",77,88,12,True,10,N/A,N/A,N/A,N/A,False,N/A,False,False,14,8,100,53
10,13,"(14, 6)","(14, 6)",89,98,10,True,8,N/A,N/A,N/A,N/A,False,N/A,False,False,14,8,100,53
10,14,"(0, 14)","(0, 14)",99,100,2,False,,N/A,N/A,N/A,N/A,False,N/A,False,False,14,8,100,53
